feature,importance
allocated_bandwidth_Hz,0.5847985089418192
pathloss_serving_dB,0.225525469772358
cell_load,0.11361684725083616
active_devices_serving_cell,0.026486661332151537
pathloss_neighbor2_dB,0.021919516562381718
pathloss_neighbor1_dB,0.02163774489283637
distance_neighbor1_m,0.0015620198447956258
distance_serving_m,0.001339115216068541
is_active,0.0012767826028392774
distance_neighbor2_m,0.0006208832707460973
packet_size_bytes,0.0003206012550079787
packet_rate_pps,0.00027108174035927676
active_devices_total,0.00026634972401791174
generated_traffic_bps,0.00025032942472143194
serving_cell,7.91727097577012e-05
traffic_class,2.891545930325495e-05
